feature,target,lag,method,corr
AWND,minutes_out,-3,pearson,0.08586102000564667
AWND,minutes_out,-2,pearson,0.08472591090017312
AWND,minutes_out,-1,pearson,0.09143560858775546
AWND,minutes_out,0,pearson,0.10713173388046651
AWND,minutes_out,1,pearson,0.10437824602224136
AWND,minutes_out,2,pearson,0.09331916347768875
AWND,minutes_out,3,pearson,0.09087357374068383
AWND,minutes_out,-3,spearman,0.12687638443224555
AWND,minutes_out,-2,spearman,0.12793200483111614
AWND,minutes_out,-1,spearman,0.1348806600958488
AWND,minutes_out,0,spearman,0.15384577369201868
AWND,minutes_out,1,spearman,0.15273184623563013
AWND,minutes_out,2,spearman,0.1389680556763227
AWND,minutes_out,3,spearman,0.1322799850510694
PRCP,minutes_out,-3,pearson,0.19973608469533496
PRCP,minutes_out,-2,pearson,0.1992667964408522
PRCP,minutes_out,-1,pearson,0.21085965319918118
PRCP,minutes_out,0,pearson,0.23899368381413033
PRCP,minutes_out,1,pearson,0.22345364074972318
PRCP,minutes_out,2,pearson,0.20631263880310713
PRCP,minutes_out,3,pearson,0.20511034229847586
PRCP,minutes_out,-3,spearman,0.21249476800215278
PRCP,minutes_out,-2,spearman,0.21654910162525162
PRCP,minutes_out,-1,spearman,0.23499604395845344
PRCP,minutes_out,0,spearman,0.2724083977549156
PRCP,minutes_out,1,spearman,0.2599765885268997
PRCP,minutes_out,2,spearman,0.23143280484991127
PRCP,minutes_out,3,spearman,0.2265953544038058
PRCP_7d_sum,minutes_out,-3,pearson,0.3000441369441886
PRCP_7d_sum,minutes_out,-2,pearson,0.3011673629755727
PRCP_7d_sum,minutes_out,-1,pearson,0.30177301606802553
PRCP_7d_sum,minutes_out,0,pearson,0.299420038309995
PRCP_7d_sum,minutes_out,1,pearson,0.28972388792177145
PRCP_7d_sum,minutes_out,2,pearson,0.2851162020065044
PRCP_7d_sum,minutes_out,3,pearson,0.2827904200184559
PRCP_7d_sum,minutes_out,-3,spearman,0.3687925008883524
PRCP_7d_sum,minutes_out,-2,spearman,0.36978620160687437
PRCP_7d_sum,minutes_out,-1,spearman,0.3708329516453658
PRCP_7d_sum,minutes_out,0,spearman,0.3693062719772442
PRCP_7d_sum,minutes_out,1,spearman,0.3532007471591532
PRCP_7d_sum,minutes_out,2,spearman,0.34377469556445034
PRCP_7d_sum,minutes_out,3,spearman,0.34011061751018307
TMAX,minutes_out,-3,pearson,0.2054720784617367
TMAX,minutes_out,-2,pearson,0.20178398767137873
TMAX,minutes_out,-1,pearson,0.20126404333114037
TMAX,minutes_out,0,pearson,0.20274990082639752
TMAX,minutes_out,1,pearson,0.20414337045976122
TMAX,minutes_out,2,pearson,0.2049741250285157
TMAX,minutes_out,3,pearson,0.2050130592356785
TMAX,minutes_out,-3,spearman,0.22920335307293077
TMAX,minutes_out,-2,spearman,0.2256320860907214
TMAX,minutes_out,-1,spearman,0.22594401920680687
TMAX,minutes_out,0,spearman,0.2306398536339389
TMAX,minutes_out,1,spearman,0.23487192600951895
TMAX,minutes_out,2,spearman,0.2356145186891874
TMAX,minutes_out,3,spearman,0.23504399256612873
WSF2,minutes_out,-3,pearson,0.20563562945475614
WSF2,minutes_out,-2,pearson,0.20440176614517852
WSF2,minutes_out,-1,pearson,0.2102876246482411
WSF2,minutes_out,0,pearson,0.23242266492390226
WSF2,minutes_out,1,pearson,0.23050634869470163
WSF2,minutes_out,2,pearson,0.214031885771844
WSF2,minutes_out,3,pearson,0.21037661737048882
WSF2,minutes_out,-3,spearman,0.2160742373184502
WSF2,minutes_out,-2,spearman,0.21847909181027117
WSF2,minutes_out,-1,spearman,0.2265808180697515
WSF2,minutes_out,0,spearman,0.25944915318259476
WSF2,minutes_out,1,spearman,0.2630275790284646
WSF2,minutes_out,2,spearman,0.23422233297882547
WSF2,minutes_out,3,spearman,0.22776162778485234
WSF2_7d_max,minutes_out,-3,pearson,0.21619786465876506
WSF2_7d_max,minutes_out,-2,pearson,0.21794334838038856
WSF2_7d_max,minutes_out,-1,pearson,0.21807080808966578
WSF2_7d_max,minutes_out,0,pearson,0.21841267918108206
WSF2_7d_max,minutes_out,1,pearson,0.21076835005164918
WSF2_7d_max,minutes_out,2,pearson,0.2023021958774126
WSF2_7d_max,minutes_out,3,pearson,0.197827273741679
WSF2_7d_max,minutes_out,-3,spearman,0.24175465759452436
WSF2_7d_max,minutes_out,-2,spearman,0.24440341176460229
WSF2_7d_max,minutes_out,-1,spearman,0.24441515619860169
WSF2_7d_max,minutes_out,0,spearman,0.24619665743604652
WSF2_7d_max,minutes_out,1,spearman,0.23687948480710627
WSF2_7d_max,minutes_out,2,spearman,0.21998372016216947
WSF2_7d_max,minutes_out,3,spearman,0.21272174943284017
